Country name,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
United States,331002647,328239523,104.451,38.300,0,1.688,9.315,0,0,0.250,47.510,2810927,2839076,2852747,3424996,179.220
Egypt,102334403,100388073,7.457,25.300,0,1.627,9.007,0,0,0.446,31.560,,,,,
Morocco,36910558,36471769,20.016,29.600,0,2.336,9.226,0,0,0.397,39.550,,,,,
Lebanon,6825442,6855713,21.508,31.100,0,1.891,8.956,0,0,0.107,31.830,,,,,
Saudi Arabia,34813867,34268528,17.875,31.900,0,1.250,8.897,0,0,0.651,45.900,,,,,
Jordan,10203140,10101694,37.577,23.200,0,1.895,8.961,0,0,0.465,33.100,,,,,
Syria,17500657,17070135,4.063,21.700,0,1.814,8.951,0,0,0.319,34.200,,,,,
Turkey,84339067,83429615,24.758,31.600,0,2.067,8.952,0,0,0.295,40.550,,,,,
Pakistan,220892331,216565318,4.607,23.500,0,1.048,8.577,0,0,0.277,33.450,,,,,
Indonesia,273523621,270625568,8.094,29.300,1,0.576,8.578,0,0,0.561,37.478,,,,,
Bangladesh,164689383,163046161,4.590,27.500,0,0.824,8.349,0,1,0.577,43.973,,,,,
United Kingdom,67886004,66834405,108.450,40.800,1,5.009,9.087,0,0,0.268,34.070,606874,613309,600532,696705,133.313
France,65273512,67059887,99.212,42.000,0,5.031,9.092,0,0,0.234,29.300,604105,607786,611291,678259,106.597
Germany,83783945,83132799,40.331,46.600,0,4.838,9.018,0,1,0.435,31.100,929351,952295,936772,1000855,73.548
Netherlands,17134873,17332850,67.260,43.200,0,5.574,9.060,0,0,0.522,27.000,149805,152991,151547,171175,114.468
Belgium,11589616,11484055,168.496,41.800,0,6.343,9.071,0,0,0.303,25.600,109278,110341,108436,128952,169.894
Spain,46754783,47076781,108.731,45.500,0,4.332,9.172,0,0,0.143,33.200,420589,423994,414914,501106,173.233
Italy,60461828,60297396,122.654,47.900,0,5.501,9.078,0,0,0.076,33.400,656891,638884,642964,756317,182.298
Poland,37846605,37970874,75.447,41.800,0,3.199,8.978,0,0,0.304,27.800,402533,411312,407624,485441,206.508
Hungary,9660350,9769949,98.723,43.400,0,3.555,9.011,0,0,0.253,28.700,131293,130624,129266,142921,128.939
Czech Republic,10708982,10669709,108.133,43.300,0,4.817,9.025,0,0,0.290,24.000,111007,112604,112040,131440,182.952
Romania,19237682,19356544,81.959,43.000,0,2.517,8.981,0,0,0.100,35.100,,,,,
Sweden,10099270,10285453,86.412,41.000,0,2.590,8.963,0,0,0.451,27.000,91627,91920,88545,99647,87.812
Greece,10423056,10716322,46.416,45.300,0,2.327,9.026,0,1,0.124,32.300,124069,119952,124538,132966,95.679
Denmark,5792203,5818553,22.409,42.300,0,3.953,9.006,0,1,0.572,27.800,53103,55076,53805,55477,25.534
Iran,83992953,82913906,65.747,32.400,0,1.707,8.809,0,0,0.367,39.970,,,,,
Hong Kong S.A.R. of China,7496988,7451000,1.974,44.800,0,1.179,8.044,1,0,0.318,48.275,45883,47478,48706,50653,44.117
Singapore,5850343,5703569,0.496,42.400,1,1.260,8.426,1,1,0.869,45.200,20905,21282,21446,22000,13.658
Japan,126476458,126264931,2.603,48.200,1,0.863,8.390,1,0,0.317,33.900,1340567,1362470,1387775,1376426,10.146
China,1439323774,1397715000,0.332,38.700,0,1.097,8.213,1,0,0.516,46.700,,,,,
India,1380004385,1366417754,10.778,28.200,0,0.937,8.532,0,0,0.526,39.334,,,,,
Venezuela,28435943,28515829,3.615,29.000,0,0.891,9.564,0,0,0.120,37.800,,,,,
Brazil,212559409,211049527,91.715,33.500,0,0.657,9.666,0,0,0.115,54.000,1312663,1316719,1349802,1571383,115.667
Mexico,128932753,127575529,97.576,29.300,0,0.848,9.434,0,0,0.129,47.500,701160,718206,728889,1045794,257.075
Nigeria,206139587,200963599,0.625,18.100,0,1.023,9.279,0,0,0.200,44.894,,,,,
Kenya,53771300,52573973,3.106,20.000,0,0.781,9.119,0,0,0.331,40.780,,,,,
Tanzania,59734213,58005463,0.035,17.700,0,0.732,9.153,0,0,0.621,37.780,,,,,
Israel,8655541,9053300,38.415,30.600,0,2.250,8.970,0,0,0.262,34.400,44425,44397,45794,49469,51.918
Palestinian Territories,5101416,4685306,27.443,20.400,0,2.111,8.975,0,0,0.164,33.690,,,,,
Ghana,31072945,30417856,1.078,21.100,0,0.952,9.342,0,0,0.305,43.520,,,,,
Uganda,45741000,44269594,0.549,16.400,0,0.816,9.143,0,0,0.239,42.750,,,,,
Benin,12123198,11801151,0.363,18.800,0,0.971,9.319,0,0,0.398,47.760,,,,,
Madagascar,27691019,26969307,0.942,19.600,1,0.603,9.142,0,0,0.312,42.650,,,,,
Malawi,19129955,18628747,0.988,18.100,0,0.667,9.207,0,0,0.323,44.690,,,,,
South Africa,59308690,58558270,48.001,27.300,0,0.607,9.297,0,0,0.193,65.426,,,,566004,
Canada,37742157,37589262,41.418,41.400,0,2.296,9.268,0,0,0.482,35.250,,,,,
Australia,25499881,25364307,3.565,37.900,1,0.405,9.102,1,0,0.335,33.000,,,,,
Philippines,109581085,108116615,8.436,25.200,1,0.740,8.226,1,0,0.520,42.230,,,,,
Sri Lanka,21413250,21670000,0.953,34.100,1,0.705,8.635,0,0,0.368,41.937,,,,,
Vietnam,97338583,96462106,0.036,32.600,0,0.807,8.108,1,0,0.490,40.100,,,,,
Thailand,69799978,69625582,0.090,40.100,0,0.751,8.270,0,0,0.354,35.315,468911,473541,506211,501438,26.610
Cambodia,16718971,16486542,0.000,25.600,0,0.714,8.256,1,0,0.498,36.000,,,,,
Laos,7275556,7169455,0.000,24.400,0,0.773,8.184,1,0,0.708,36.390,,,,,
Myanmar,54409794,54045420,4.929,29.100,0,0.759,8.299,0,1,0.621,38.070,,,,,
New Zealand,4822233,4917000,0.518,37.900,1,0.379,9.266,1,1,0.527,34.100,33495,33053,34088,33177,-7.564
Angola,32866268,31825295,1.232,16.800,0,0.745,9.319,0,0,0.278,46.103,,,,,
Botswana,2351625,2303697,1.786,25.800,0,0.628,9.307,0,0,0.435,53.330,,,,,
Ethiopia,114963583,112078730,1.673,19.800,0,0.915,9.047,0,1,0.397,33.498,,,,,
Mali,20250834,19658031,1.328,16.400,0,1.070,9.352,0,0,0.274,33.040,,,,,
Mauritania,4649660,4525696,7.463,20.300,0,1.149,9.364,0,0,0.122,32.620,,,,,
Mozambique,31255435,30366036,0.531,17.700,0,0.599,9.273,0,0,0.473,49.417,,,,,
Niger,24206636,23310715,0.430,15.100,0,1.126,9.290,0,0,0.484,34.280,,,,,
Rwanda,12952209,12626950,0.710,20.300,0,0.801,9.174,0,0,0.906,43.710,,,,,
Senegal,16743930,16296364,2.449,18.700,0,1.062,9.390,0,0,0.355,40.290,,,,,
Zambia,18383956,17861030,2.110,17.700,0,0.667,9.251,0,0,0.322,57.140,,,,,
South Korea,51269183,51709098,1.789,43.400,0,1.607,8.228,1,0,0.112,35.500,284548,298030,294080,308318,31.266
Taiwan Province of China,23816775,23780000,0.029,42.200,0,0.888,8.088,1,1,0.158,29.467,171242,172784,176296,173156,-1.196
Afghanistan,38928341,38041754,5.628,18.600,0,1.107,8.623,0,0,0.046,31.000,,,,,
Belarus,9449321,9466856,15.070,40.300,0,2.377,8.935,0,0,0.242,25.440,,,,,
Georgia,3989175,3720382,62.795,38.700,0,1.706,8.851,0,1,0.198,37.940,,,,,
Kazakhstan,18776707,18513930,14.704,30.600,0,1.137,8.621,0,0,0.352,27.450,74381,130515,133489,162613,267.188
Kyrgyzstan,6524191,6456900,20.769,26.300,0,1.080,8.566,0,0,0.186,27.340,33166,32989,33295,39977,105.184
Moldova,4033963,2657637,73.997,37.600,0,2.348,8.952,0,0,0.104,25.900,36768,37176,36794,40382,103.692
Russia,145934460,144373535,38.559,39.600,0,1.771,8.869,0,0,0.196,34.560,1824340,1827827,1800683,2124479,211.405
Ukraine,43733759,44385155,44.087,41.400,0,2.206,8.929,0,0,0.059,25.000,574123,587665,581114,616835,81.407
Burkina Faso,20903278,20321378,0.407,17.600,0,1.092,9.318,0,0,0.359,35.300,,,,,
Cameroon,26545864,25876380,1.688,18.800,0,0.919,9.276,0,0,0.281,46.640,,,,,
Sierra Leone,7976985,7813215,0.953,19.100,0,0.962,9.401,0,0,0.338,34.030,,,,,
Zimbabwe,14862927,14645468,2.442,19.600,0,0.645,9.244,0,0,0.287,40.363,,,,,
Costa Rica,5094114,5047561,42.893,33.600,0,0.864,9.549,0,0,0.213,48.600,,,,,
Albania,2877800,2854191,41.038,38.000,0,3.058,9.036,0,0,0.150,28.960,,,,,
Algeria,43851043,43053054,6.285,29.100,0,2.933,9.159,0,0,0.415,27.620,,,,,
Argentina,45195777,44938712,95.684,31.900,0,0.549,9.717,0,0,0.091,39.600,,,,,
Armenia,2963234,2957731,95.268,35.700,0,1.762,8.858,0,0,0.174,33.620,27367,25645,26252,35371,302.304
Austria,9006400,8877067,69.084,44.400,0,4.315,9.023,0,0,0.358,26.800,81311,82063,81557,91553,110.821
Azerbaijan,10139175,10023318,26.048,32.400,0,1.752,8.810,0,0,0.352,26.600,57109,57250,56447,75647,185.609
Bahrain,1701583,1641172,20.687,32.400,1,1.667,8.852,0,0,0.487,59.600,,,,,
Belize,397621,390353,62.371,25.000,0,0.926,9.483,0,0,0.227,53.260,,,,,
Bhutan,771612,763092,0.000,28.600,0,0.863,8.349,0,0,0.722,37.440,,,,,
Bolivia,11673029,11513100,78.514,25.400,0,0.609,9.726,0,0,0.101,43.800,,,,,
Bosnia and Herzegovina,3280815,3301000,123.445,42.500,0,3.509,9.032,0,0,0.064,33.030,,,,,
Bulgaria,6948445,6975761,109.032,44.700,0,2.692,9.007,0,0,0.073,39.600,109330,108247,107849,126525,259.256
Burundi,11890781,11530580,0.017,17.500,0,0.781,9.186,0,0,0.293,38.620,,,,,
Central African Republic,4829764,4745185,1.304,18.300,0,0.912,9.225,0,0,0.371,56.240,,,,,
Chad,16425859,15946876,0.633,16.700,0,1.077,9.213,0,0,0.269,43.320,,,,,
Chile,19116209,18952038,86.879,35.400,0,0.562,9.722,0,0,0.097,45.920,106045,106458,109079,127387,106.088
Colombia,50882884,50339443,84.926,32.200,0,0.814,9.606,0,0,0.113,52.000,226799,236228,243648,301480,130.251
Comoros,869595,850886,1.150,20.400,1,0.663,9.128,0,0,0.139,45.330,,,,,
Congo (Kinshasa),89561404,86790567,0.660,17.000,0,0.805,9.287,0,0,0.257,42.100,,,,,
Congo (Brazzaville),5518092,5380508,1.957,19.000,0,0.853,9.287,0,0,0.238,48.940,,,,,
Croatia,4105268,4067500,95.487,44.000,0,4.057,9.037,0,0,0.131,29.700,53269,52562,51611,57922,133.158
Cuba,11326616,11333483,1.289,43.100,1,1.182,9.451,0,0,0.729,38.000,,,,,
Cyprus,875899,1198575,13.586,37.300,1,1.908,8.968,0,0,0.174,29.100,6009,5798,6218,6636,60.513
Djibouti,988002,973560,6.174,25.400,0,0.940,8.996,0,0,0.425,41.590,,,,,
Dominican Republic,10847904,10738958,22.253,27.600,1,1.130,9.503,0,0,0.199,44.400,,,,,
Ecuador,17643060,17373662,79.544,28.100,0,0.789,9.634,0,0,0.205,45.400,70049,71769,73479,115842,251.745
El Salvador,6486201,6453553,20.459,27.600,0,0.863,9.508,0,0,0.239,40.500,,,,,
Estonia,1326539,1326590,17.263,42.700,0,2.365,8.930,0,1,0.270,30.600,15476,15684,15332,16206,53.421
Finland,5540718,5520314,10.125,42.800,0,2.225,8.927,0,1,0.550,25.900,53546,54394,53821,55663,31.510
Gabon,2225728,2172579,2.875,23.100,0,0.865,9.305,0,1,0.104,38.020,,,,,
Guatemala,17915567,16604026,26.865,22.900,0,0.864,9.497,0,0,0.286,44.488,,,,,
Guinea,13132792,12771246,0.617,19.000,0,0.970,9.409,0,0,0.349,33.730,,,,,
Guyana,786559,782766,20.850,26.300,0,0.832,9.581,0,0,0.260,35.000,,,,,
Haiti,11402533,11263077,2.070,24.300,1,1.079,9.501,0,0,0.216,50.945,,,,,
Honduras,9904608,9588000,31.602,24.900,0,0.887,9.511,0,0,0.209,48.100,,,,,
Iceland,341250,361313,8.498,37.300,1,1.649,9.070,0,1,0.325,24.100,2229,2247,2261,2321,21.445
Iraq,40222503,39309783,31.855,20.000,0,1.652,8.882,0,0,0.133,33.120,,,,,
Ireland,4937796,4941444,45.304,38.700,1,3.188,9.100,0,0,0.431,30.600,,30621,30728,32271,32.320
Ivory Coast,26378275,25716544,0.519,18.700,0,0.964,9.365,0,0,0.285,48.594,,,,,
Jamaica,2961161,2948279,10.199,31.400,1,1.045,9.502,0,0,0.133,37.480,,,,,
Kuwait,4270563,4207083,21.871,33.700,0,1.497,8.865,0,0,0.388,36.020,,,,,
Latvia,1886202,1912789,33.666,43.900,0,2.490,8.943,0,0,0.096,35.600,28659,28743,27632,28989,33.921
Lesotho,2142252,2125268,2.381,24.000,0,0.586,9.317,0,0,0.279,54.180,,,,,
Liberia,5057677,4937374,1.641,19.200,0,0.935,9.398,0,0,0.273,35.270,,,,,
Libya,6871287,6777452,21.510,29.000,0,2.194,9.122,0,0,0.311,30.200,,,,,
Lithuania,2722291,2786844,53.558,43.500,0,2.539,8.944,0,1,0.189,36.900,39990,39452,38184,43824,167.552
Luxembourg,625976,619896,79.076,39.700,0,5.974,9.070,0,0,0.595,30.900,4251,4300,4288,4706,68.439
North Macedonia,2083380,2083459,120.141,39.100,0,2.875,9.022,0,0,0.105,32.400,20318,19727,20412,25049,235.030
Malaysia,32365998,31949777,1.455,29.900,0,0.714,8.415,1,0,0.443,41.040,168100,172100,173700,174300,9.329
Maldives,540542,530953,8.880,30.600,1,0.712,8.738,0,0,0.327,37.343,,,,,
Malta,441539,502653,49.599,42.400,1,2.822,9.097,0,0,0.403,28.700,3556,3672,3684,4093,96.520
Mauritius,1271767,1265711,0.786,37.400,1,0.624,9.084,0,0,0.411,38.470,10140,10787,11174,11060,28.348
Mongolia,3278292,3225167,0.031,28.600,0,1.140,8.326,1,0,0.102,32.350,15812,17331,17205,15922,-26.468
Montenegro,628062,622137,108.588,39.100,0,3.134,9.015,0,0,0.216,31.930,,,,,
Namibia,2540916,2494530,8.068,22.000,0,0.625,9.349,0,1,0.311,57.535,,,,,
Nepal,29136808,28608710,6.370,25.000,0,0.877,8.418,0,1,0.392,32.840,,,,,
Nicaragua,6624554,6545502,2.491,27.300,0,0.860,9.528,0,0,0.280,46.515,,,,,
Norway,5421242,5347896,8.042,39.700,0,2.676,8.993,0,1,0.606,24.800,40634,40716,40500,41155,9.998
Oman,5106622,4974986,29.354,30.700,0,1.076,8.780,0,0,0.579,30.700,8861,8979,8581,10585,35.272
Panama,4314768,4246439,93.215,29.700,0,0.910,9.568,0,0,0.182,49.800,19482,19720,20332,23876,94.177
Paraguay,7132530,7044636,31.714,26.500,0,0.591,9.726,0,0,0.138,47.400,29021,31258,32362,34139,45.971
Peru,32971846,32510453,114.279,29.100,0,0.636,9.690,0,0,0.096,43.900,98704,112516,114560,214503,323.476
Portugal,10196707,10269417,67.728,46.200,0,3.224,9.207,0,0,0.248,32.100,109283,112692,111474,125500,140.235
Qatar,2881060,2832067,8.504,31.900,0,1.368,8.847,0,0,0.676,30.233,2294,2385,2200,2627,11.692
Serbia,6804596,6944975,47.189,41.200,0,3.134,9.015,0,1,0.221,37.800,103722,101655,102131,114954,181.116
Slovakia,5459643,5454073,39.160,41.200,0,4.655,9.019,0,1,0.195,23.200,53702,54137,53115,60277,121.419
Slovenia,2078932,2087946,129.730,44.500,0,4.308,9.045,0,0,0.177,23.400,20436,20428,20547,24277,182.711
Somalia,15893219,15442905,0.818,16.800,0,0.788,9.031,0,0,0.318,39.700,,,,,
Sudan,43849269,42813238,3.348,19.700,0,1.076,9.066,0,0,0.375,45.050,,,,,
Suriname,586634,581372,20.797,29.600,0,0.821,9.581,0,0,0.274,38.100,,,,,
Eswatini,1160164,1148130,17.670,21.500,0,0.608,9.283,0,0,0.371,51.450,,,,,
Switzerland,8654618,8574832,88.334,43.100,0,5.584,9.078,0,0,0.660,30.100,66703,66888,67515,77087,116.680
Tajikistan,9537642,9321018,0.944,23.300,0,1.135,8.624,0,0,0.554,34.000,32027,32699,33537,41743,95.327
Gambia,2416664,2347706,5.131,17.500,0,1.044,9.393,0,0,0.489,35.920,,,,,
Togo,8278737,8082366,0.821,19.400,0,0.966,9.329,0,1,0.212,43.060,,,,,
Trinidad and Tobago,1399491,1394973,9.075,36.200,1,0.904,9.560,0,1,0.082,47.243,,,,,
Tunisia,11818618,11694719,39.565,32.700,0,3.018,9.118,0,0,0.129,32.820,,,,,
Turkmenistan,5942089,5942089,,,0,1.463,8.735,0,0,0.511,26.500,,,,,
United Arab Emirates,9890400,9770529,6.764,34.000,0,1.199,8.821,0,0,0.694,38.300,,,,,
Uruguay,3473727,3461734,5.210,35.600,0,0.572,9.711,0,0,0.247,39.250,,,,,
Uzbekistan,33469199,33580650,1.834,28.200,0,1.141,8.620,0,0,0.435,39.700,160723,154913,154570,175637,56.381
Yemen,29825968,29161922,2.045,20.300,0,1.005,8.966,0,0,0.267,36.710,,,,,
Kosovo,1932774,1794248,68.916,35.000,0,3.134,9.015,0,1,0.169,29.010,8738,8866,9552,11108,110.329
Somaliland region,,,,,0,,,0,0,,,,,,,
North Cyprus,,,,,0,,,0,0,0.305,,,,,,
South Sudan,11193729,11062113,0.563,19.200,0,1.076,9.066,0,0,0.179,46.340,,,,,
